f,a1,a2,t1,t2
0.0,0.0121,0.0011,0.4826,0.1752
0.001,0.0121,0.0011,0.4826,0.1752
0.002,0.0121,0.0011,0.4826,0.1752
0.003,0.0121,0.0011,0.4826,0.1752
0.004,0.0121,0.0011,0.4826,0.1752
0.005,0.0121,0.0011,0.4826,0.1752
0.006,0.0121,0.0011,0.4826,0.1752
0.007,0.0121,0.0011,0.4826,0.1752
0.008,0.0121,0.0011,0.4826,0.1752
0.009,0.0121,0.0011,0.4826,0.1752
0.01,0.0121,0.0011,0.4826,0.1754
0.011,0.0121,0.0011,0.4826,0.1754
0.012,0.0121,0.0012,0.4826,0.1754
0.013,0.012,0.0012,0.4826,0.1754
0.014,0.012,0.0013,0.4826,0.1754
0.015,0.012,0.0014,0.4826,0.1754
0.016,0.012,0.0014,0.4826,0.1756
0.017,0.012,0.0015,0.4826,0.1756
0.018,0.012,0.0016,0.4826,0.1756
0.019,0.012,0.0017,0.4826,0.1756
0.02,0.012,0.0017,0.4826,0.1758
0.021,0.012,0.0018,0.4826,0.1758
0.022,0.012,0.0019,0.4826,0.1758
0.023,0.012,0.002,0.4832,0.1758
0.024,0.0119,0.0021,0.4832,0.1758
0.025,0.0119,0.0021,0.4832,0.176
0.026,0.0119,0.0022,0.4832,0.176
0.027,0.0119,0.0023,0.4832,0.176
0.028,0.0119,0.0024,0.4832,0.176
0.029,0.0119,0.0025,0.4832,0.176
0.03,0.0119,0.0025,0.4832,0.176
0.031,0.0119,0.0026,0.4832,0.176
0.032,0.0119,0.0027,0.4832,0.176
0.033,0.0118,0.0027,0.4832,0.1762
0.034,0.0118,0.0028,0.4832,0.1762
0.035,0.0118,0.0029,0.4832,0.1762
0.036,0.0118,0.0029,0.4832,0.1762
0.037,0.0118,0.0029,0.4832,0.1762
0.038,0.0118,0.003,0.4832,0.176
0.039,0.0118,0.003,0.4832,0.1726
0.04,0.0118,0.003,0.4832,0.1726
0.041,0.0118,0.003,0.4832,0.1726
0.042,0.0118,0.003,0.4832,0.1726
0.043,0.0117,0.003,0.4832,0.1726
0.044,0.0117,0.003,0.4832,0.1725
0.045,0.0117,0.003,0.4832,0.1725
0.046,0.0117,0.003,0.4826,0.1725
0.047,0.0117,0.0029,0.4826,0.1725
0.048,0.0117,0.0029,0.4826,0.1723
0.049,0.0117,0.0029,0.4826,0.1723
0.05,0.0117,0.0028,0.4826,0.1723
0.051,0.0117,0.0028,0.4826,0.1721
0.052,0.0117,0.0027,0.4826,0.1721
0.053,0.0117,0.0026,0.4826,0.1719
0.054,0.0117,0.0026,0.4826,0.1719
0.055,0.0117,0.0025,0.4826,0.1719
