f,a1,a2,t1,t2
0.4,0.0228,0.0312,1.4566,1.5743
0.41,0.0235,0.0325,1.4568,1.5497
0.42,0.0246,0.0339,1.4571,1.4576
0.43,0.0255,0.035,1.4574,1.5262
0.44,0.0268,0.0365,1.4577,1.4582
0.45,0.028,0.0377,1.458,1.5762
0.46,0.0289,0.0391,1.4582,1.5515
0.47,0.0309,0.0412,1.4585,1.5518
0.48,0.0322,0.0433,1.4588,1.5043
0.49,0.0342,0.0458,1.4591,1.6032
0.5,0.036,0.0478,1.4594,1.5284
0.51,0.0378,0.0503,1.4596,1.4823
0.52,0.0405,0.0532,1.4599,1.4604
0.53,0.0432,0.057,1.4602,1.4828
0.54,0.0463,0.0602,1.4605,1.483
0.55,0.0494,0.0645,1.4608,1.5061
0.56,0.0537,0.0696,1.461,1.4835
0.57,0.0586,0.0757,1.4613,1.5065
0.58,0.0644,0.0828,1.4616,1.4839
0.59,0.0709,0.0911,1.4618,1.462
0.6,0.0794,0.1016,1.4621,1.4843
0.61,0.0905,0.1153,1.4623,1.4846
0.62,0.1046,0.1327,1.4625,1.4626
0.63,0.1234,0.1558,1.4628,1.4628
0.64,0.1509,0.1897,1.463,1.463
0.65,0.1932,0.2417,1.4632,1.4632
0.66,0.2676,0.3331,1.4634,1.4634
0.67,0.4339,0.5372,1.4636,1.4636
0.68,1.1328,1.394,1.4637,1.4637
0.69,1.7074,2.0929,1.4535,1.4535
0.7,0.4828,0.5889,1.4536,1.4536
0.71,0.288,0.3499,1.4538,1.4539
0.72,0.2055,0.2484,1.4326,1.4541
0.73,0.1593,0.1931,1.4121,1.4544
0.74,0.1303,0.1576,1.4123,1.4333
0.75,0.1104,0.1329,1.4126,1.4336
0.76,0.096,0.1145,1.4128,1.4338
0.77,0.0849,0.1004,1.3732,1.4133
0.78,0.0759,0.0898,1.3734,1.4136
0.79,0.0688,0.0812,1.3545,1.4139
0.8,0.0629,0.0731,1.3005,1.4349
0.81,0.0582,0.0678,1.3007,1.4144
0.82,0.0539,0.0623,1.3551,1.3944
0.83,0.0504,0.0579,1.2673,1.3946
0.84,0.0474,0.0545,1.2842,1.3752
0.85,0.0444,0.0506,1.2201,1.3754
1.8,0.0156,0.0189,0.5555,0.5287
1.81,0.016,0.0198,0.5524,0.5177
1.82,0.0165,0.0204,0.5494,0.5177
1.83,0.0169,0.0215,0.5464,0.5124
1.84,0.0174,0.0223,0.5434,0.5124
1.85,0.018,0.0233,0.5404,0.5204
1.86,0.0187,0.0246,0.5375,0.515
1.87,0.0197,0.0262,0.5346,0.5232
1.88,0.0206,0.0278,0.5318,0.5204
1.89,0.0216,0.0297,0.529,0.5151
1.9,0.0229,0.0317,0.5262,0.5124
1.91,0.0245,0.0343,0.5234,0.5098
1.92,0.0264,0.0375,0.5206,0.5072
1.93,0.0285,0.041,0.5179,0.5098
1.94,0.0312,0.0457,0.5153,0.5098
1.95,0.0348,0.0515,0.5126,0.5098
1.96,0.0397,0.0594,0.51,0.5072
1.97,0.0466,0.07,0.5074,0.5046
1.98,0.0565,0.0852,0.5048,0.5046
1.99,0.0725,0.1112,0.5023,0.5021
2.0,0.1018,0.1616,0.4997,0.4996
2.01,0.1808,0.2871,0.4972,0.4971
2.02,0.5902,0.9602,0.4948,0.4946
2.03,0.2636,0.4311,0.4935,0.4934
2.04,0.1217,0.1979,0.4911,0.4909
2.05,0.0787,0.1314,0.4887,0.4885
2.06,0.0578,0.0988,0.4887,0.4862
2.07,0.0468,0.0793,0.4887,0.4838
2.08,0.0393,0.0664,0.4864,0.4815
2.09,0.0338,0.0572,0.4888,0.4792
2.1,0.0298,0.0504,0.4888,0.4769
2.11,0.0268,0.0453,0.4937,0.4746
2.12,0.0242,0.0413,0.4937,0.4723
2.13,0.0222,0.038,0.4913,0.4701
2.14,0.0206,0.0352,0.4937,0.4679
2.15,0.019,0.0328,0.4913,0.4657
2.16,0.0178,0.0307,0.4889,0.4636
2.17,0.0169,0.0289,0.4938,0.4614
2.18,0.0159,0.0275,0.4938,0.4593
2.19,0.015,0.0261,0.4938,0.4572
2.2,0.0144,0.0248,0.4938,0.4551
2.21,0.0137,0.0239,0.4938,0.453
2.22,0.0131,0.0229,0.4963,0.451
2.23,0.0126,0.0219,0.4938,0.449
2.24,0.0121,0.021,0.4914,0.4469
